x : 7.125660  y : -0.239924  deg : 164.405420
x : 7.989362  y : 0.014876  deg : 57.317653
x : 7.989575  y : 0.014992  deg : 56.062787
x : 7.131082  y : -0.242884  deg : 164.133010
x : 7.142452  y : -0.230290  deg : 164.468159
x : 7.989218  y : 0.015364  deg : 56.559335
x : 7.122935  y : -0.245415  deg : 164.367668
x : 7.130131  y : -0.233961  deg : 164.445909
x : 7.989911  y : 0.015067  deg : 53.806987
x : 7.995363  y : 0.009794  deg : 36.836798
x : 7.120242  y : -0.241575  deg : 164.395426
x : 7.103342  y : -0.246741  deg : 164.364239
x : 7.113032  y : -0.243777  deg : 164.632123
x : 7.126801  y : -0.244213  deg : 164.374950
x : 7.995602  y : 0.009393  deg : 36.342042
x : 7.995901  y : 0.008851  deg : 35.849761
x : 7.995164  y : 0.009658  deg : 39.346112
x : 7.995632  y : 0.009221  deg : 37.096357
x : 7.995197  y : 0.009699  deg : 38.844107
x : 7.119754  y : -0.251100  deg : 164.078615
x : 7.994755  y : 0.009823  deg : 42.351210
x : 7.995472  y : 0.009453  deg : 37.343922
x : 7.132270  y : -0.242516  deg : 164.385246
x : 7.995292  y : 0.009612  deg : 38.094124
x : 7.117019  y : -0.247255  deg : 164.356526
x : 7.995572  y : 0.009566  deg : 35.837612
x : 7.995890  y : 0.008979  deg : 35.346132
x : 7.995185  y : 0.009512  deg : 39.599760
x : 7.122577  y : -0.250205  deg : 164.084041
x : 7.995508  y : 0.009378  deg : 37.345171
x : 7.995437  y : 0.009315  deg : 38.098962
x : 7.995158  y : 0.009565  deg : 39.598910
x : 7.995687  y : 0.009104  deg : 36.848319
x : 7.988736  y : 0.004674  deg : 81.463818
x : 7.995604  y : 0.009073  deg : 37.601563
x : 7.995739  y : 0.009202  deg : 35.593796
x : 7.112089  y : -0.253534  deg : 164.063877
x : 7.988506  y : 0.004948  deg : 81.961488
x : 7.994749  y : 0.010045  deg : 41.345304
x : 7.128220  y : -0.243773  deg : 164.377620
x : 7.995833  y : 0.009103  deg : 35.344002
x : 7.122662  y : -0.245499  deg : 164.367154
x : 7.123674  y : -0.249857  deg : 164.086151
x : 7.995983  y : 0.008877  deg : 34.596423
x : 7.121935  y : -0.250408  deg : 164.082808
x : 7.995166  y : 0.009983  deg : 37.586648
x : 7.995166  y : 0.009872  deg : 38.089906
x : 7.130551  y : -0.247680  deg : 164.099368
x : 7.995537  y : 0.009643  deg : 35.836290
x : 7.125358  y : -0.249323  deg : 164.089388
x : 7.995164  y : 0.009659  deg : 39.096103
x : 7.117186  y : -0.251915  deg : 164.073678
x : 7.995581  y : 0.009548  deg : 35.837919
x : 7.107333  y : -0.250274  deg : 164.338277
x : 7.995308  y : 0.009799  deg : 37.338208
x : 7.995642  y : 0.009524  deg : 35.336791
x : 7.995462  y : 0.009474  deg : 37.093578
x : 7.120138  y : -0.250978  deg : 164.079353
x : 7.995601  y : 0.009183  deg : 37.098391
x : 7.111308  y : -0.253782  deg : 164.062375
x : 7.995749  y : 0.008771  deg : 37.606511
x : 7.994897  y : 0.009762  deg : 41.099682
x : 7.995495  y : 0.009196  deg : 38.100884
x : 7.110579  y : -0.249262  deg : 164.344392
x : 7.120123  y : -0.250983  deg : 164.079325
x : 7.126288  y : -0.249029  deg : 164.091176
x : 7.110625  y : -0.249247  deg : 164.344481
x : 7.989740  y : 0.015179  deg : 54.306807
x : 7.988001  y : 0.004735  deg : 83.713603
x : 7.995621  y : 0.009352  deg : 36.092727
x : 7.995321  y : 0.009662  deg : 37.841912
x : 7.995774  y : 0.009343  deg : 34.838345
x : 7.989007  y : 0.015093  deg : 58.067217
x : 7.995555  y : 0.009279  deg : 37.346798
x : 7.122349  y : -0.250277  deg : 164.083605
x : 7.995608  y : 0.009488  deg : 35.838936
x : 7.125613  y : -0.249243  deg : 164.089878
x : 7.995591  y : 0.009415  deg : 36.341658
x : 7.122071  y : -0.245683  deg : 164.366040
x : 7.115965  y : -0.247583  deg : 164.354539
x : 7.995524  y : 0.009344  deg : 37.095727
x : 7.124135  y : -0.245042  deg : 164.369928
x : 7.995472  y : 0.009348  deg : 37.597062
x : 7.996732  y : 0.012272  deg : 30.162727
x : 7.995448  y : 0.009836  deg : 35.833020
x : 7.122971  y : -0.250080  deg : 164.084799
x : 7.995679  y : 0.009227  deg : 36.094839
x : 7.118675  y : -0.251442  deg : 164.076541
x : 7.995386  y : 0.009419  deg : 38.347264
x : 7.995441  y : 0.009411  deg : 37.596018
x : 7.995112  y : 0.009872  deg : 38.341321
x : 7.113866  y : -0.248237  deg : 164.350586
x : 7.115619  y : -0.247691  deg : 164.353889
x : 7.151428  y : -0.236585  deg : 164.421309
x : 7.121807  y : -0.245765  deg : 164.365543
x : 7.995151  y : 0.009579  deg : 39.598688
x : 7.987905  y : 0.004773  deg : 83.713313
x : 7.995015  y : 0.009743  deg : 40.097419
x : 7.114808  y : -0.252670  deg : 164.069105
x : 7.995464  y : 0.009156  deg : 38.852838
x : 7.990021  y : 0.015190  deg : 52.802827
x : 7.995619  y : 0.009465  deg : 35.839329
x : 7.124276  y : -0.249666  deg : 164.087308
x : 7.994959  y : 0.009747  deg : 40.348646
x : 7.114891  y : -0.247918  deg : 164.352517
x : 7.119773  y : -0.246398  deg : 164.361713
x : 7.995579  y : 0.009441  deg : 36.091232
x : 7.582522  y : -0.794982  deg : 117.705796
x : 7.995354  y : 0.009593  deg : 37.593043
x : 7.995144  y : 0.009700  deg : 39.345455
x : 7.121614  y : -0.250510  deg : 164.082191
x : 7.127308  y : -0.248706  deg : 164.093135
x : 7.995585  y : 0.009217  deg : 37.097837
x : 7.112572  y : -0.253380  deg : 164.064807
x : 7.995710  y : 0.009161  deg : 36.095949
x : 7.995312  y : 0.009680  deg : 37.591615
x : 7.996733  y : 0.012734  deg : 29.138032
x : 7.995426  y : 0.009336  deg : 38.348605
x : 7.995126  y : 0.009843  deg : 38.841786
x : 7.995254  y : 0.009912  deg : 37.336335
x : 7.994854  y : 0.009844  deg : 41.098417
x : 7.995479  y : 0.009333  deg : 37.847297
x : 7.995244  y : 0.009498  deg : 39.098666
x : 7.995590  y : 0.009000  deg : 38.104075
x : 7.996405  y : 0.012388  deg : 32.685206
x : 7.996353  y : 0.012154  deg : 33.700167
x : 7.989544  y : 0.015037  deg : 55.562226
x : 7.995187  y : 0.009719  deg : 38.593781
x : 7.995460  y : 0.009372  deg : 37.846665
x : 7.995276  y : 0.009645  deg : 38.343592
x : 7.116152  y : -0.247525  deg : 164.354893
x : 7.995612  y : 0.009264  deg : 36.595641
x : 7.122321  y : -0.250286  deg : 164.083550
x : 7.995091  y : 0.009698  deg : 39.596810
x : 7.995603  y : 0.009284  deg : 36.845317
x : 7.995232  y : 0.009845  deg : 37.588904
x : 7.566493  y : -0.773608  deg : 119.264964
x : 7.995575  y : 0.009031  deg : 37.853572
x : 7.995667  y : 0.009252  deg : 36.094419
x : 7.995586  y : 0.009319  deg : 36.594722
x : 7.995265  y : 0.009777  deg : 37.840023
x : 7.995427  y : 0.009548  deg : 37.092355
x : 7.995847  y : 0.008968  deg : 35.597778
x : 7.994997  y : 0.009672  deg : 40.599801
x : 7.995581  y : 0.009329  deg : 36.844557
x : 7.144370  y : -0.243314  deg : 164.125921
x : 7.995383  y : 0.009641  deg : 37.340818
x : 7.129196  y : -0.248108  deg : 164.096764
x : 7.995632  y : 0.009436  deg : 36.339818
x : 7.988543  y : 0.004931  deg : 81.461614
x : 7.993924  y : 0.011036  deg : 43.586811
x : 7.988636  y : 0.004313  deg : 84.467015
x : 7.994256  y : 0.010763  deg : 42.086964
x : 7.995667  y : 0.009043  deg : 37.350712
x : 7.990372  y : 0.014652  deg : 52.809816
x : 7.989824  y : 0.014632  deg : 55.567289
x : 7.991765  y : 0.012886  deg : 50.079329
x : 7.166917  y : -0.192744  deg : 166.973115
x : 7.989778  y : 0.014159  deg : 57.327498
x : 7.990249  y : 0.013885  deg : 55.327689
x : 7.992991  y : 0.011740  deg : 47.836636
x : 7.992960  y : 0.011793  deg : 47.585903
x : 7.104310  y : 0.004346  deg : 179.222009
x : 7.998883  y : 0.003732  deg : 21.657043
x : 7.999071  y : 0.003204  deg : 20.667827
x : 7.999219  y : 0.002931  deg : 19.168720
x : 7.103365  y : 0.004351  deg : 179.471980
x : 7.116873  y : 0.004279  deg : 179.222402
x : 7.106544  y : 0.004334  deg : 179.472079
x : 7.995819  y : 0.008925  deg : 36.849924
x : 7.127156  y : -0.154014  deg : 169.993146
x : 7.998678  y : 0.004153  deg : 23.152233
x : 7.613781  y : -0.809710  deg : 115.500405
x : 7.139431  y : -0.147312  deg : 170.286276
x : 7.996342  y : 0.008685  deg : 33.840463
x : 7.991676  y : 0.014246  deg : 48.798786
x : 7.997907  y : 0.005869  deg : 26.125323
x : 7.995884  y : 0.008889  deg : 35.599128
x : 7.150735  y : -0.192510  deg : 167.228149
x : 7.997060  y : 0.006721  deg : 32.130312
x : 7.996983  y : 0.006815  deg : 31.879820
x : 7.997028  y : 0.006792  deg : 31.879039
x : 7.996995  y : 0.006870  deg : 31.627650
x : 7.996841  y : 0.007053  deg : 32.626844
x : 7.997847  y : 0.005794  deg : 27.131269
x : 7.094112  y : -0.119668  deg : 172.474785
x : 7.998934  y : 0.003872  deg : 20.395952
x : 7.996526  y : 0.008670  deg : 31.833830
x : 7.140072  y : -0.204054  deg : 166.651059
x : 7.992884  y : 0.012415  deg : 47.072010
x : 7.996149  y : 0.008410  deg : 34.605907
x : 7.995914  y : 0.008722  deg : 35.603331
x : 7.995508  y : 0.009707  deg : 36.585216
x : 7.995694  y : 0.009194  deg : 36.845391
x : 7.140187  y : -0.226438  deg : 165.245729
x : 7.995732  y : 0.009112  deg : 36.846768
x : 7.995677  y : 0.009447  deg : 36.088104
x : 7.995927  y : 0.008896  deg : 36.347556
x : 7.995847  y : 0.009290  deg : 35.087698
x : 7.996044  y : 0.008845  deg : 34.845491
x : 7.995484  y : 0.009759  deg : 36.834330
x : 7.995946  y : 0.009175  deg : 34.838140
x : 7.995090  y : 0.010028  deg : 39.087369
x : 7.995596  y : 0.009406  deg : 37.091821
x : 7.144270  y : -0.225248  deg : 165.252946
x : 7.996017  y : 0.009123  deg : 34.087443
x : 7.989673  y : 0.015278  deg : 54.805537
x : 7.137347  y : -0.231810  deg : 164.958941
x : 7.995852  y : 0.009278  deg : 35.087908
x : 7.998282  y : 0.004881  deg : 25.645073
x : 7.995935  y : 0.009090  deg : 35.091196
x : 7.995864  y : 0.009251  deg : 35.088378
x : 7.136782  y : -0.227432  deg : 165.239711
x : 7.988217  y : 0.004296  deg : 85.717302
x : 7.995159  y : 0.009999  deg : 38.336391
x : 7.995103  y : 0.010115  deg : 38.584480
x : 7.995803  y : 0.009170  deg : 35.842853
x : 7.995625  y : 0.009451  deg : 36.589560
x : 7.995724  y : 0.009237  deg : 36.593210
x : 7.995593  y : 0.009632  deg : 36.084921
x : 7.152487  y : -0.222855  deg : 165.267469
x : 7.133038  y : -0.233094  deg : 164.951160
x : 7.995457  y : 0.009485  deg : 37.843395
x : 7.995725  y : 0.009025  deg : 37.099640
x : 7.995345  y : 0.009720  deg : 37.839509
x : 7.995524  y : 0.009671  deg : 36.335826
x : 7.995318  y : 0.009777  deg : 38.338573
x : 7.130844  y : -0.224601  deg : 165.511033
x : 7.995189  y : 0.010048  deg : 38.334083
x : 7.990178  y : 0.015095  deg : 53.052752
x : 7.118195  y : -0.232870  deg : 165.206846
x : 7.113451  y : -0.229592  deg : 165.480930
x : 7.994543  y : 0.010443  deg : 41.589181
x : 7.621773  y : -0.801007  deg : 115.276202
x : 7.123598  y : -0.226677  deg : 165.498495
x : 7.637346  y : -0.783984  deg : 114.824251
x : 7.995196  y : 0.010033  deg : 38.084334
x : 7.996728  y : 0.007394  deg : 32.619601
x : 7.994345  y : 0.010710  deg : 42.836421
x : 7.093539  y : -0.225799  deg : 165.762318
x : 7.995513  y : 0.009366  deg : 36.845365
x : 7.995612  y : 0.009160  deg : 36.348774
x : 7.995370  y : 0.009245  deg : 38.602714
x : 7.995204  y : 0.009579  deg : 38.347385
x : 7.992851  y : 0.011976  deg : 47.333347
x : 7.996382  y : 0.007990  deg : 33.611795
x : 7.994283  y : 0.010272  deg : 43.099310
x : 7.996175  y : 0.008353  deg : 34.106890
x : 7.994252  y : 0.010546  deg : 42.092807
x : 7.995620  y : 0.009247  deg : 35.845930
x : 7.993450  y : 0.011078  deg : 47.094721
x : 7.996615  y : 0.007652  deg : 32.615051
x : 7.992936  y : 0.012197  deg : 46.076453
x : 7.994682  y : 0.010067  deg : 40.596255
x : 7.117912  y : -0.219068  deg : 165.802694
x : 7.994955  y : 0.009754  deg : 39.598536
x : 7.994856  y : 0.010166  deg : 38.589406
x : 7.996742  y : 0.007363  deg : 32.620146
x : 7.991213  y : 0.012986  deg : 53.084718
x : 7.995281  y : 0.009635  deg : 37.343753
x : 7.988933  y : 0.014781  deg : 58.824141
x : 7.523099  y : -1.412132  deg : 108.660695
x : 7.621761  y : -0.801058  deg : 114.775506
x : 7.996387  y : 0.007978  deg : 33.362005
x : 7.624175  y : -0.816543  deg : 114.214891
x : 7.996768  y : 0.007392  deg : 32.118334
x : 7.524314  y : -1.422738  deg : 108.487113
